0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
52, Federal-gov,194483, 12th,9, Married-civ-spouse, Transport-moving, Other-relative, Asian-Pac-Islander, Male,100,8,33, United-States, <=50K
40, Local-gov,171494, Some-college,6, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,-134,5,40, United-States, <=50K
16, Federal-gov,223368, Bachelors,11, Married-civ-spouse, Prof-specialty, Own-child, White, Female,-77,2274,56, United-States, <=50K
24, Private,32553, Bachelors,9, Never-married, Transport-moving, Husband, White, Male,27,6,40, United-States, >50K
46, Private,306068, 7th-8th,10, Divorced, Craft-repair, Unmarried, White, Male,-17,3,56, United-States, <=50K
62, Private,154219, Preschool,9, Never-married, Adm-clerical, Wife, Black, Male,-54,5,40, United-States, <=50K
34, Private,211656, HS-grad,10, Never-married, Adm-clerical, Own-child, White, Female,2510,7,55, United-States, <=50K
38, Private,238876, Some-college,13, Married-civ-spouse, Craft-repair, Husband, Black, Male,-72,3,22, United-States, <=50K
23, Local-gov,186305, HS-grad,10, Never-married, Adm-clerical, Own-child, White, Female,-94,3,32, United-States, <=50K
23, Private,68300, Masters,9, Widowed, Prof-specialty, Unmarried, White, Female,10,2,40, Mexico, <=50K
32, State-gov,403425, Bachelors,13, Divorced, Machine-op-inspct, Other-relative, White, Male,-102,3,40, United-States, >50K
40, Private,212542, HS-grad,8, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,-115,-5,34, United-States, <=50K
48, Private,235368, HS-grad,10, Married-civ-spouse, Craft-repair, Own-child, White, Male,-74,-1,63, United-States, <=50K
40, ?,232965, HS-grad,4, Never-married, Sales, Own-child, White, Male,24,3,18, Yugoslavia, >50K
18, Private,56113, 5th-6th,8, Married-civ-spouse, Tech-support, Own-child, White, Female,-58,6,36, United-States, <=50K
52, Self-emp-not-inc,279864, Some-college,6, Married-civ-spouse, Other-service, Not-in-family, White, Female,-22,3,40, United-States, <=50K
15, Self-emp-inc,347558, Some-college,14, Divorced, Craft-repair, Not-in-family, White, Male,-98,1,30, United-States, <=50K
16, Self-emp-not-inc,125960, Assoc-acdm,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,-124,1,10, Canada, <=50K
34, Private,329794, Bachelors,9, Married-civ-spouse, Craft-repair, Wife, White, Male,-106,2,40, United-States, <=50K
40, Private,197213, HS-grad,10, Married-civ-spouse, Transport-moving, Own-child, White, Male,-130,-1,62, Iran, <=50K
23, Private,289909, 1st-4th,11, Never-married, ?, Unmarried, White, Male,-139,4,49, United-States, <=50K
45, Federal-gov,274776, Assoc-voc,9, Married-spouse-absent, Craft-repair, Own-child, White, Male,-47,1,38, Dominican-Republic, <=50K
32, Private,124975, Bachelors,8, Married-civ-spouse, Prof-specialty, Unmarried, White, Female,-2,2,40, United-States, <=50K
43, Private,221597, HS-grad,7, Never-married, ?, Unmarried, Amer-Indian-Eskimo, Female,8,4,40, Greece, <=50K
21, Private,175989, HS-grad,14, Never-married, Prof-specialty, Wife, White, Male,-79,-2,44, United-States, <=50K
30, Private,177928, Some-college,9, Separated, Machine-op-inspct, Own-child, White, Female,-29,1,32, Germany, <=50K
14, State-gov,168276, 12th,13, Married-civ-spouse, Other-service, Husband, White, Female,33,2,40, United-States, >50K
