age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,Income
20, Private,430522, Masters,14, Married-civ-spouse, Machine-op-inspct, Unmarried, Other, Female,-228,78,39, United-States, >50K
18, Federal-gov,-24006, Masters,13, Separated, Handlers-cleaners, Unmarried, White, Male,-268,78,37, Mexico, <=50K
42, Self-emp-inc,36657, Assoc-voc,13, Married-civ-spouse, Sales, Husband, Black, Female,-467,87,-11, ?, >50K
36, Self-emp-not-inc,65152, 5th-6th,12, Separated, Machine-op-inspct, Other-relative, White, Male,-416,63,22, Columbia, >50K
41, State-gov,4893, Bachelors,13, Never-married, Machine-op-inspct, Unmarried, White, Male,-9,46,38, Taiwan, >50K
19, State-gov,-46956, Preschool,16, Married-spouse-absent, ?, Other-relative, White, Female,-4936,50,-4, Jamaica, <=50K
19, ?,86894, Assoc-acdm,11, Never-married, Exec-managerial, Not-in-family, Black, Female,-331,51,-9, ?, <=50K
23, Self-emp-not-inc,143690, 11th,10, Separated, Adm-clerical, Husband, White, Female,-137,50,52, Cuba, <=50K
24, Federal-gov,-47236, 1st-4th,11, Divorced, Sales, Unmarried, Other, Female,3100,71,-10, Puerto-Rico, <=50K
24, Private,-91631, HS-grad,12, Married-civ-spouse, Sales, Not-in-family, Other, Female,-328,3018,38, Columbia, <=50K
6, Private,-48656, Assoc-acdm,12, Married-civ-spouse, ?, Not-in-family, White, Male,-151,81,37, Thailand, >50K
26, Self-emp-not-inc,-37571, 9th,11, Widowed, Exec-managerial, Other-relative, Amer-Indian-Eskimo, Male,-5640,3115,6, India, <=50K
-1, Self-emp-not-inc,-7443, 5th-6th,11, Divorced, Protective-serv, Not-in-family, White, Female,-377,61,-1, Poland, <=50K
40, Self-emp-not-inc,48072, Bachelors,13, Separated, ?, Other-relative, Black, Female,-519,1748,-5, Puerto-Rico, <=50K
20, Self-emp-inc,-5890, 7th-8th,13, Married-spouse-absent, Protective-serv, Husband, White, Female,-112,66,38, England, >50K
-1, Self-emp-not-inc,-67362, 10th,11, Divorced, Protective-serv, Husband, White, Female,-175,78,20, Thailand, >50K
37, Federal-gov,-43712, Bachelors,11, Never-married, Farming-fishing, Wife, Other, Female,-449,72,27, Italy, <=50K
40, Private,-34656, 5th-6th,12, Married-civ-spouse, Prof-specialty, Other-relative, Amer-Indian-Eskimo, Female,3344,2231,38, Italy, <=50K
26, Private,17164, Assoc-acdm,14, Widowed, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Male,-367,59,38, Laos, >50K
14, Private,-30844, Assoc-voc,11, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,1408,36,39, Laos, >50K
44, Private,-25532, Preschool,11, Never-married, Handlers-cleaners, Not-in-family, White, Male,-74,67,33, India, <=50K
21, Self-emp-inc,-44726, Prof-school,17, Married-AF-spouse, Machine-op-inspct, Unmarried, Asian-Pac-Islander, Female,-280,74,0, United-States, <=50K
46, Local-gov,-38196, HS-grad,10, Divorced, Sales, Other-relative, White, Female,4032,3129,37, Taiwan, <=50K
13, Self-emp-inc,374438, 7th-8th,10, Widowed, Other-service, Wife, White, Female,-1979,29,30, Puerto-Rico, <=50K
36, Local-gov,-13079, 12th,14, Widowed, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,-301,47,38, Canada, >50K
24, State-gov,-66331, 5th-6th,13, Never-married, ?, Wife, Black, Female,-512,66,31, Thailand, <=50K
38, Self-emp-not-inc,-11632, 1st-4th,9, Married-civ-spouse, Handlers-cleaners, Unmarried, White, Male,-5114,58,-11, Mexico, <=50K
21, ?,86389, 10th,12, Divorced, Prof-specialty, Own-child, White, Female,203,23,38, Philippines, >50K
30, Self-emp-inc,36879, Bachelors,11, Never-married, Tech-support, Not-in-family, White, Female,5880,55,-6, ?, <=50K
17, Federal-gov,44361, 11th,17, Divorced, Transport-moving, Husband, White, Female,6213,79,39, Iran, <=50K
46, Private,175507, 1st-4th,10, Separated, Handlers-cleaners, Wife, White, Male,2485,78,39, United-States, <=50K
28, ?,25577, Bachelors,10, Never-married, Adm-clerical, Other-relative, Other, Male,-370,79,37, Columbia, <=50K
26, Self-emp-inc,87805, Assoc-voc,13, Married-civ-spouse, Craft-repair, Not-in-family, Black, Male,994,50,47, Canada, <=50K
29, Federal-gov,-31924, Bachelors,14, Widowed, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Female,3113,84,38, Mexico, >50K
21, State-gov,-71073, Doctorate,11, Married-civ-spouse, Protective-serv, Own-child, White, Male,-4487,78,38, Jamaica, <=50K
38, ?,32849, Doctorate,13, Widowed, Exec-managerial, Wife, White, Female,-3775,52,38, England, >50K
19, Local-gov,-74672, HS-grad,14, Married-civ-spouse, Exec-managerial, Other-relative, Other, Female,1319,84,-17, Taiwan, <=50K
29, Federal-gov,-170189, Assoc-voc,13, Never-married, Other-service, Own-child, Black, Male,7138,1361,37, Portugal, <=50K
52, Private,-95641, Masters,11, Divorced, Protective-serv, Wife, Other, Female,-481,76,-8, Jamaica, >50K
