age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,Income
42.23515139440005, Private,453560.5113346693, Bachelors,13.065088693626281, Married-civ-spouse, Prof-specialty, Husband, White, Male,-0.007477041845194659,-0.006102085597104407,47.986145718735614, United-States, >50K.
52.2902725237475, Private,203605.2753170094, 9th,13.004786456009592, Divorced, Other-service, Not-in-family, Black, Male,0.011255547270526998,-0.0016570792431066783,39.86785388853041, United-States, <=50K
28.198444545220244, Private,205989.64164792217, Some-college,5.974138078637096, Never-married, Other-service, Own-child, Black, Male,-0.011466236494719272,0.0016547462691100217,40.005363274478924, England, <=50K
36.49333185469084, Private,434718.83769438206, Bachelors,14.627981480165678, Married-civ-spouse, Exec-managerial, Husband, White, Male,-0.0020000444974510733,0.0029478435812468656,47.9525583286737, United-States, >50K
24.09595027178316, Private,127355.84464048286, HS-grad,9.011071409344618, Never-married, Adm-clerical, Own-child, Black, Female,-0.002067789963457046,0.0012945532680583877,39.99771147198276, United-States, <=50K.
23.712822222502542, Private,247702.87925621207, HS-grad,9.01197129658782, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Female,-0.004607114991262454,0.010151376521734335,29.11434893199833, United-States, <=50K
29.894006555825825, ?,187147.78108195777, HS-grad,9.03852293572696, Never-married, ?, Not-in-family, White, Male,0.016264299581641477,-0.010199969593405578,40.053575302156815, India, <=50K.
19.080890836966184, ?,540151.8613914042, 11th,15.57106328363431, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,-0.024160760328707724,-0.009003741248495078,39.94839054990091, United-States, <=50K
19.34077101989172, Private,112194.75839122366, 12th,8.989089578924125, Married-spouse-absent, Other-service, Unmarried, White, Female,0.0032956347504761114,0.009352571017007467,64.3594894641606, ?, <=50K
62.36260106742787, Self-emp-not-inc,93651.44970980626, 12th,10.291707411993409, Married-civ-spouse, Priv-house-serv, Husband, White, Male,0.013196510002758748,-0.0034921342151538683,52.014115642792966, ?, <=50K
20.365953808586298, ?,101201.27998761393, Some-college,9.977349413833254, Separated, Other-service, Not-in-family, White, Male,-0.007807110782212068,0.001866838367071189,33.33689090420855, United-States, <=50K.
38.07533025468117, Federal-gov,162896.54895688724, HS-grad,13.057373739508295, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0011661582684339834,0.00865320368751914,39.99948982793338, United-States, >50K.
16.874900933388957, Local-gov,321834.29564768355, 7th-8th,11.701401861584234, Divorced, Sales, Wife, White, Male,0.00203292859577009,0.006037975750753123,40.019551883786335, United-States, >50K.
43.21189854188281, State-gov,181562.78204093644, Bachelors,9.026411414677913, Married-AF-spouse, Exec-managerial, Husband, White, Male,0.01945593619957989,-0.0031763834327031646,49.41197725430549, United-States, <=50K.
40.66336842510907, Self-emp-inc,189853.62126583813, Bachelors,8.937739487537486, Married-civ-spouse, Sales, Husband, White, Male,1694.0088051586763,-0.0050025712017019485,51.68786572566145, United-States, >50K.
18.445078033793077, Private,218547.69423790957, Some-college,9.977411234137923, Never-married, Machine-op-inspct, Unmarried, White, Female,0.003987106738445988,0.0007972926591662705,39.9789461877971, United-States, <=50K
27.442479923710092, Private,305981.7888007281, Assoc-acdm,14.355073205484668, Never-married, ?, Husband, Black, Male,-0.0033251541674924933,-0.007897861087009288,39.96875600931943, United-States, <=50K.
33.774213130295394, Private,144768.1460500707, HS-grad,5.815875280161472, Never-married, Sales, Own-child, White, Female,-0.007109498651516019,-0.0022429671059326344,40.14903459207759, United-States, <=50K
44.51063883409747, Private,51424.747577634225, HS-grad,10.060105226038708, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female,-0.010066002484137622,0.0031815064479675075,19.283905465465004, United-States, <=50K
21.61991441173355, Private,159846.58924231282, Some-college,10.013601636311048, Never-married, Craft-repair, Unmarried, Black, Female,-0.006303127843595227,0.0035739914253459125,32.809745889590666, United-States, <=50K
59.50380999138895, Self-emp-not-inc,446525.65278463234, 10th,2.743811339076328, Married-civ-spouse, Exec-managerial, Other-relative, White, Female,-0.010788084312890134,-0.00042372951755462055,40.71575265305266, United-States, <=50K
32.021817441517264, Private,206041.24338504433, Doctorate,8.995851069680109, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,-0.010082751143557738,-0.008458460511296114,43.27869534286288, India, >50K
33.1122959034504, Federal-gov,169214.65605982213, 11th,3.325436575481448, Divorced, Prof-specialty, Not-in-family, Black, Male,0.01020699857569761,0.00014889850337432956,40.06337686821235, Thailand, <=50K
23.156059785384873, ?,254988.59587436207, HS-grad,9.024143221588732, Divorced, ?, Unmarried, Black, Female,0.0021381255649185163,-0.0008804424032032608,29.911027370084344, United-States, <=50K
46.61852782136633, Self-emp-not-inc,362103.15840070165, HS-grad,13.036631893143724, Married-civ-spouse, Prof-specialty, Husband, White, Male,4629.4818726393705,2525.5610753034402,53.1906052302624, United-States, >50K
55.79408590670703, Self-emp-not-inc,207644.44066274381, Bachelors,8.983478559715726, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0014506601325398438,0.004376577814119027,54.681515935092726, United-States, >50K
29.626494732962676, Private,177108.72853818428, Some-college,10.004563048028613, Divorced, Exec-managerial, Own-child, Black, Female,-0.017098139313464256,0.005685378591364356,32.78279757109367, United-States, <=50K.
47.85621158846982, Private,111388.86333675066, HS-grad,9.033325547837832, Never-married, Handlers-cleaners, Unmarried, White, Female,-0.01385573382226883,0.003790410611004589,39.852438823638714, United-States, <=50K.
38.47654119891324, Federal-gov,299685.52218147676, Bachelors,12.960485661727935, Married-civ-spouse, Protective-serv, Husband, White, Male,-0.009302424732952707,0.003013966981190702,61.430796541700815, United-States, >50K
21.512900511260842, Local-gov,118181.251608571, Bachelors,13.024485804274462, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,-0.002709650699744391,0.0027460740652096435,74.98729755518121, Canada, <=50K.
31.920240968604602, Private,233522.763675671, Some-college,10.054432273586794, Never-married, Adm-clerical, Not-in-family, White, Female,-0.008327304017345886,0.00922222223692787,40.001861472087526, United-States, <=50K.
45.72778506754438, Self-emp-not-inc,148104.43738424845, HS-grad,9.99187617952296, Married-civ-spouse, Exec-managerial, Husband, White, Male,-0.005471582543983626,0.008507408622120346,40.054669620852714, United-States, <=50K.
29.514024222997318, Private,166786.35202281678, 7th-8th,9.968940062204002, Never-married, Handlers-cleaners, Unmarried, Black, Female,0.004429570117913968,-0.0027298913645919685,36.241171612598386, United-States, <=50K
40.92271287363687, Private,141930.19169045083, Some-college,9.952005562256055, Never-married, Sales, Not-in-family, White, Female,-0.014032672130227873,-0.004399947470653271,30.015197746270424, United-States, <=50K.
19.004233148447668, Private,196680.6935219847, HS-grad,9.022578776579985, Married-civ-spouse, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male,0.0027241159058963888,0.0022782902670347863,31.77575911067119, United-States, <=50K.
51.93018700088968, Private,223455.03953536972, 11th,8.971605656186798, Married-civ-spouse, Adm-clerical, Husband, White, Male,-0.00799759480040556,-0.009938201243247275,40.060026490875444, United-States, <=50K
22.81073387169252, Private,165371.91433480917, HS-grad,12.090323843850385, Divorced, Sales, Other-relative, White, Male,0.007858843225506841,0.003898550674367954,40.18175346352104, United-States, <=50K
55.56914931865966, Local-gov,349033.6949094975, Assoc-voc,10.037777596037081, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0.009185219483844959,-0.0018148066263819662,38.11327469866349, Cuba, <=50K.
20.832601597630063, Private,263795.2087828479, HS-grad,10.010783087286782, Never-married, ?, Unmarried, White, Female,-0.0016330843531017019,0.005354993370347781,29.87866348849026, United-States, <=50K.
21.123131917536554, Private,287307.9249203998, Bachelors,6.228841598841446, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male,0.0016762671876264146,0.004974516353267709,40.08533644186997, ?, <=50K
38.75953135923288, Self-emp-not-inc,117647.18439988037, Bachelors,13.03633166589907, Married-civ-spouse, Prof-specialty, Husband, White, Male,-0.01541899151562281,0.012938239494628414,45.78627552803273, United-States, >50K.
50.92647956847917, Federal-gov,139783.53888483386, Some-college,2.289614441122285, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.004370776991075299,-0.0012431689998672294,39.86328733099252, Germany, >50K
35.22154478883358, Private,333139.6805839754, Some-college,8.982578647568253, Widowed, Machine-op-inspct, Unmarried, Black, Female,-0.021966631347072097,0.010491503418839426,39.954349330254836, United-States, <=50K
44.692246064251435, Private,196388.35329700785, 12th,13.972104947207587, Married-civ-spouse, Craft-repair, Husband, White, Male,0.021995383455945528,0.005459766882666232,51.01801323888853, United-States, <=50K
37.80860553153529, State-gov,113172.82875979111, Bachelors,13.061997626329491, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.011589104564782814,2126.1223760831467,44.96595921288055, Mexico, >50K
61.687138244282686, Private,93746.78750279098, Masters,10.036350496848785, Married-civ-spouse, Exec-managerial, Husband, White, Male,-0.014316118433237506,-0.0013520113271360424,61.00210379917905, United-States, >50K
39.67450107043804, Private,428793.36200441624, Assoc-acdm,9.016278506402465, Married-spouse-absent, Craft-repair, Not-in-family, White, Male,-0.010556846090940732,0.0030288972247255594,43.01408933268568, United-States, <=50K.
57.29247488893034, Federal-gov,210476.4639450613, Bachelors,4.173330217575199, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,4653.38730636152,-0.006769662708412255,50.28752989094618, United-States, >50K
34.150678538864454, Self-emp-not-inc,138706.63306791295, 11th,10.0742824533591, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0.013876520803374218,0.010375445684131785,51.984535660457645, Philippines, >50K.
34.55263634475376, Private,146423.856528295, 7th-8th,6.865515013491032, Divorced, Protective-serv, Not-in-family, White, Male,-0.018090469772634125,-0.00236577608434804,40.12593434709008, Jamaica, <=50K
26.79827955707618, Private,201836.32416847663, Some-college,10.022329465859867, Never-married, Armed-Forces, Unmarried, Black, Female,-0.015609765774446803,0.005044181654612412,23.788861248845244, United-States, <=50K
30.47084019555203, Never-worked,320854.4954639378, HS-grad,8.780240584982934, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0.023338216875910475,0.0005899979301009166,40.224489222671465, United-States, <=50K.
43.79261138504486, Private,224118.80876896722, 10th,8.997807498017542, Divorced, Tech-support, Unmarried, Other, Male,-0.015880909701384803,0.008715339511506668,35.608248292906325, Philippines, <=50K.
41.95721786738332, State-gov,491518.0909618626, Assoc-acdm,17.773842863504825, Married-civ-spouse, Prof-specialty, Wife, White, Male,-0.011758304409312251,0.012763080756478076,48.2950682238745, United-States, >50K
51.444544713712915, Private,439957.77661763295, HS-grad,10.008253133358346, Never-married, Priv-house-serv, Own-child, White, Male,-0.0007250241883597864,0.0015981654290978236,40.07224319305681, United-States, <=50K.
47.97139400536176, Private,111004.30997674735, Masters,15.20761528288931, Married-spouse-absent, Exec-managerial, Not-in-family, Black, Male,0.011541602961001002,0.0005276441989247113,46.06149504693467, Philippines, >50K
43.78681198045546, Local-gov,255545.12865313102, 1st-4th,8.986656296168936, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.00438754172787278,0.00563314306092916,40.027048098137975, Thailand, >50K
24.475889137658815, Local-gov,177875.64482788794, Assoc-acdm,10.008480376473168, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,-0.00619110266539808,0.0005661521505639363,40.0111972347788, United-States, <=50K
31.745583284384267, Private,128258.29558644813, Bachelors,8.997702972421653, Married-civ-spouse, Handlers-cleaners, Unmarried, White, Male,0.0034613250094330853,-0.005955666528900613,28.01685401072735, China, <=50K.
41.882448234138586, Federal-gov,36533.24493018072, Bachelors,0.9073378570151411, Married-civ-spouse, Prof-specialty, Husband, White, Male,-0.006310902512827362,0.006568028541270625,69.02473549248978, India, >50K
35.38896366489907, State-gov,135740.05455062026, Assoc-acdm,9.981220737162571, Never-married, Other-service, Unmarried, Black, Female,-0.004076340974342602,0.00187007340492728,20.02804543236562, United-States, <=50K
54.24966720690331, Self-emp-not-inc,100282.80109136661, Some-college,9.037458337455654, Married-spouse-absent, Machine-op-inspct, Not-in-family, White, Male,-0.008298666880853029,-0.0034024923496848397,35.89315904274724, United-States, <=50K.
51.627826669444055, Private,264016.5765010972, Some-college,7.092236611469163, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male,0.004484041710480718,0.006527722198421038,30.34171012410504, United-States, <=50K
42.59463955783019, Private,29951.826205729885, 9th,9.481915669487613, Never-married, Prof-specialty, Husband, White, Male,0.016072569907546515,-0.010672493638835524,36.23209774679677, Mexico, >50K.
24.20895027272658, ?,158501.24789324243, 7th-8th,13.013991074728533, Divorced, Prof-specialty, Not-in-family, White, Female,0.002565808299435477,-0.011771244777234445,2.371693048787533, United-States, <=50K
41.453882361891, Private,153066.93180106374, 12th,8.945696509882483, Widowed, Other-service, Husband, White, Male,0.0012102214595417881,-0.0006752280761061444,50.204109220113374, Laos, <=50K
42.83262030892567, Private,226443.96832056914, Some-college,10.000240840807516, Widowed, Adm-clerical, Wife, White, Female,-0.01312746202236467,-0.0005591042878271887,61.57492134140268, United-States, <=50K.
43.210671958511234, Self-emp-not-inc,200909.57249097608, Some-college,8.99809609946261, Married-civ-spouse, Protective-serv, Husband, White, Male,0.0013509372032435632,-6.98120822876272e-05,61.183236654691335, United-States, <=50K
41.795792493593396, Private,222715.6503792514, HS-grad,9.018691669691599, Married-civ-spouse, Priv-house-serv, Unmarried, White, Male,-0.01324685612983522,0.00023429971657530836,39.946712151478884, United-States, >50K.
43.42821924825764, Private,160465.78120597207, Bachelors,12.631396933680422, Married-civ-spouse, Exec-managerial, Husband, White, Male,-0.01416806835576534,0.006434714737281128,59.51671954548876, United-States, >50K.
46.3248633841248, Federal-gov,95415.4584271498, Assoc-voc,4.993600918117939, Married-AF-spouse, Handlers-cleaners, Own-child, White, Male,-0.0010701955561665862,0.0016842592913963827,25.445019761572855, China, <=50K.
26.631079096142308, Private,228818.03321685526, Some-college,5.120930661996091, Divorced, Handlers-cleaners, Other-relative, Asian-Pac-Islander, Female,-0.011687897927902943,-0.004240095975028748,40.003362526460656, United-States, <=50K.
45.84396812563602, Private,112991.41879676358, Some-college,10.062758365292666, Never-married, ?, Not-in-family, Black, Female,0.004182354342178696,0.002814729826776024,14.620132233621316, United-States, <=50K
36.6924648101696, Private,226226.65580384617, HS-grad,9.99796005934553, Divorced, Other-service, Unmarried, Other, Female,0.0046273656976238385,0.006767062718687144,40.02667562763362, United-States, <=50K
38.78482430173559, Self-emp-not-inc,142424.01547085957, Masters,13.008909750336155, Married-civ-spouse, Farming-fishing, Husband, White, Male,3341.4327272037895,0.001324979731259025,53.27346640923738, Puerto-Rico, >50K
21.58931790141329, Private,197646.1166812642, Some-college,9.964213672628247, Never-married, Adm-clerical, Own-child, White, Female,-0.009248002467730896,0.011396437607062134,33.42021774615774, El-Salvador, <=50K
34.277439258424174, Self-emp-not-inc,154071.34810602778, Bachelors,12.981933490037559, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,-0.0004613984443554401,0.005544526372579998,42.95194942488819, United-States, >50K
49.814691468966984, Federal-gov,150584.32467943893, Bachelors,13.000708981633656, Married-civ-spouse, Prof-specialty, Husband, White, Male,-0.006681224964178276,-0.0018198001099811044,40.11064381097979, United-States, >50K.
30.859952900139145, Private,164633.584737799, Some-college,9.970366966169262, Never-married, Craft-repair, Unmarried, Other, Male,-0.005941238602741656,0.0040865718138199305,40.19168398182462, United-States, <=50K.
54.72162001400475, Self-emp-not-inc,447145.19070992095, Masters,13.006394736339328, Married-civ-spouse, Farming-fishing, Husband, White, Male,0.0010354118626936934,0.004306682360416394,51.733282123246916, Mexico, <=50K
45.17413372608736, Private,213990.08223951774, HS-grad,10.03465502781828, Married-spouse-absent, Transport-moving, Unmarried, White, Male,-0.0050847551690695126,0.010793552037471977,44.76963847619982, Mexico, <=50K
40.57426499798816, ?,173916.8824964405, Bachelors,13.084563459116792, Married-civ-spouse, Sales, Husband, White, Male,-0.025335760671079604,0.011268956245578658,40.01342268343552, Mexico, >50K.
58.700620250274795, State-gov,141344.0176389615, Bachelors,13.065003613117046, Married-civ-spouse, Prof-specialty, Husband, White, Male,-0.003547628129094212,1789.4571159386458,43.11415016305834, United-States, >50K
39.30142925949221, Private,382128.904389337, 12th,12.914947957904364, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.004061046305033922,-0.000949495265769219,40.070073537185515, Ecuador, <=50K.
40.26641821128033, Private,36449.50609191373, Some-college,13.021487351104284, Married-civ-spouse, Farming-fishing, Not-in-family, Black, Male,0.011866594321224508,0.0011603360866990374,40.049513634323255, United-States, >50K.
